url,status,timestamp,text_length,file_path,note
https://www.csulb.edu,200,2025-11-26,4702,./data/https%3A%2F%2Fwww.csulb.edu.txt,
https://www.csulb.edu/college-of-the-arts,200,2025-11-26,9908,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts.txt,
https://www.csulb.edu/financial-aid-and-scholarships,200,2025-11-26,5794,./data/https%3A%2F%2Fwww.csulb.edu%2Ffinancial-aid-and-scholarships.txt,
https://sso.csulb.edu/,200,2025-11-26,7,./data/https%3A%2F%2Fsso.csulb.edu%2F.txt,
https://www.csulb.edu/student-records,200,2025-11-26,7083,./data/https%3A%2F%2Fwww.csulb.edu%2Fstudent-records.txt,
https://www.csulb.edu/news/article/new-csulb-lb-unified-teacher-residency-program-helps-make-dream-of-becoming-a-teacher,200,2025-11-26,9723,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fnew-csulb-lb-unified-teacher-residency-program-helps-make-dream-of-becoming-a-teacher.txt,
https://www.csulb.edu/equity-compliance/title-ix-at-the-beach,200,2025-11-26,13573,./data/https%3A%2F%2Fwww.csulb.edu%2Fequity-compliance%2Ftitle-ix-at-the-beach.txt,
http://www.csulb.edu/shark-lab,200,2025-11-26,3717,./data/http%3A%2F%2Fwww.csulb.edu%2Fshark-lab.txt,
https://mail.csulb.edu/,200,2025-11-26,7,./data/https%3A%2F%2Fmail.csulb.edu%2F.txt,
https://www.csulb.edu/student-affairs/university-housing-residential-life,200,2025-11-26,6159,./data/https%3A%2F%2Fwww.csulb.edu%2Fstudent-affairs%2Funiversity-housing-residential-life.txt,
https://www.csulb.edu/office-of-the-president,200,2025-11-26,4555,./data/https%3A%2F%2Fwww.csulb.edu%2Foffice-of-the-president.txt,
https://www.csulb.edu/information-technology/accessible-technology/accessibility-statement,200,2025-11-26,6049,./data/https%3A%2F%2Fwww.csulb.edu%2Finformation-technology%2Faccessible-technology%2Faccessibility-statement.txt,
https://www.csulb.edu/university-relations-and-development,200,2025-11-26,2502,./data/https%3A%2F%2Fwww.csulb.edu%2Funiversity-relations-and-development.txt,
https://www.csulb.edu/employment,200,2025-11-26,4107,./data/https%3A%2F%2Fwww.csulb.edu%2Femployment.txt,
https://www.csulb.edu/space-beach,200,2025-11-26,4132,./data/https%3A%2F%2Fwww.csulb.edu%2Fspace-beach.txt,
https://www.csulb.edu/alumni/volunteers,200,2025-11-26,3667,./data/https%3A%2F%2Fwww.csulb.edu%2Falumni%2Fvolunteers.txt,
https://www.csulb.edu/news/event/winter-festival-0,200,2025-11-26,2098,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Fevent%2Fwinter-festival-0.txt,
https://www.csulb.edu/student-affairs/beach-wellness,200,2025-11-26,4549,./data/https%3A%2F%2Fwww.csulb.edu%2Fstudent-affairs%2Fbeach-wellness.txt,
https://web.csulb.edu/depts/music/,200,2025-11-26,3141,./data/https%3A%2F%2Fweb.csulb.edu%2Fdepts%2Fmusic%2F.txt,
https://www.csulb.edu/news/article/long-beach-state-athletics-finalizes-naming-rights-agreement-for-lbs-financial-credit,200,2025-11-26,7890,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Flong-beach-state-athletics-finalizes-naming-rights-agreement-for-lbs-financial-credit.txt,
https://www.csulb.edu/maps,200,2025-11-26,2220,./data/https%3A%2F%2Fwww.csulb.edu%2Fmaps.txt,
https://www.csulb.edu/admissions,200,2025-11-26,8836,./data/https%3A%2F%2Fwww.csulb.edu%2Fadmissions.txt,
